id|name|id|number_of_seats|available_at_datetime
310|Aqua Shard|310|4|2018-07-13 19:00:00+00:00
309|Hutong|309|2|2018-07-12 19:00:00+00:00
242|Bob Bob Ricard|242|4|2018-07-05 18:30:00+00:00
105|Duck & Waffle|105|4|2018-06-28 19:00:00+00:00
309|Hutong|309|2|2018-06-21 19:00:00+00:00
242|Bob Bob Ricard|242|4|2018-07-12 18:30:00+00:00
69|Pollen Street Social|69|2|2018-07-05 19:00:00+00:00
69|Pollen Street Social|69|2|2018-06-28 19:00:00+00:00
105|Duck & Waffle|105|4|2018-06-21 19:00:00+00:00
309|Hutong|309|2|2018-07-05 19:00:00+00:00
733|XU|733|2|2018-07-13 19:00:00+00:00
69|Pollen Street Social|69|2|2018-06-21 19:00:00+00:00
178|Social Eating House|178|2|2019-01-25 20:00:00+00:00
242|Bob Bob Ricard|242|4|2018-06-28 18:30:00+00:00
242|Bob Bob Ricard|242|4|2018-06-21 18:30:00+00:00
544|Sexy Fish|544|4|2018-07-06 18:30:00+00:00
105|Duck & Waffle|105|4|2018-07-05 19:00:00+00:00
178|Social Eating House|178|2|2018-06-29 19:00:00+00:00
105|Duck & Waffle|105|4|2018-07-04 19:00:00+00:00
490|Marcus Wareing's Tredwell's|490|2|2018-07-04 18:30:00+00:00
310|Aqua Shard|310|4|2018-06-29 19:00:00+00:00
